site,name,prov,type,lon,lat,alt,I,moveTimes,tag,period_date_begin,period_date_end,date_begin,date_end,n_all,n_period
54234,库伦,内蒙古,一般站,121.78333333333333,42.733333333333334,284.1,2845,5,2,1960-01-01,2003-06-30,1959-01-01,2018-12-31,21915,15887
54236,彰武,辽宁,基本站,122.53333333333333,42.416666666666664,79.4,2850,3,2,1965-01-01,2007-11-30,1952-07-01,2018-12-31,24290,15674
54237,阜新,辽宁,基本站,121.65,42.03333333333333,144.0,2855,7,4,1968-09-01,1991-12-31,1951-01-01,2018-12-31,24837,8522
54243,昌图,辽宁,基准站,124.11666666666666,42.78333333333333,165.1,2862,5,4,1977-10-01,2015-12-31,1956-12-01,2018-12-31,22676,13971
54244,康平,辽宁,一般站,123.33333333333333,42.75,118.6,2865,8,2,1982-09-01,2015-12-31,1958-10-01,2018-12-31,22007,12175
54245,法库,辽宁,一般站,123.4,42.5,97.8,2875,4,4,1979-04-01,2018-12-31,1957-01-01,2018-12-31,22645,14520
54248,沈北新区,辽宁,一般站,123.53333333333333,42.03333333333333,61.6,2876,1,1,1992-01-01,2018-12-31,1992-01-01,2018-12-31,9862,9862
54249,铁岭,辽宁,一般站,123.86666666666666,42.3,85.4,2881,5,5,1981-01-01,2018-12-31,1955-12-01,2018-12-31,23042,13879
54252,西丰,辽宁,一般站,124.75,42.733333333333334,196.1,2883,3,2,1980-01-01,2015-12-31,1959-06-01,2018-12-31,21764,13149
54254,开原,辽宁,基本站,124.05,42.53333333333333,98.2,2886,2,2,1957-10-01,2018-12-31,1954-10-01,2018-12-31,23468,22372
54259,清原,辽宁,基本站,124.95,42.1,237.1,2887,5,1,1957-01-01,1978-12-31,1957-01-01,2018-12-31,22645,8035
54260,辽源,吉林,基本站,125.08333333333333,42.916666666666664,252.9,2895,4,4,1975-01-01,2018-12-31,1956-12-01,2018-12-31,22676,16071
54261,东丰,吉林,一般站,125.45,42.68333333333333,341.5,2899,7,4,1974-03-01,2006-10-31,1958-11-01,2018-12-31,21976,11933
54263,磐石,吉林,基本站,126.05,42.96666666666667,336.7,2906,5,4,1984-01-01,2014-12-31,1956-11-01,2018-12-31,22706,11323
54266,梅河口,吉林,基本站,125.63333333333334,42.53333333333333,339.9,2910,4,3,1959-01-01,2004-10-31,1952-06-01,2018-12-31,24320,16741
54267,柳河,吉林,一般站,125.73333333333333,42.25,362.3,2913,2,2,1979-01-01,2018-12-31,1958-01-01,2018-12-31,22280,14610
54273,桦甸,吉林,基本站,126.75,42.983333333333334,263.3,2916,3,3,1978-01-01,2018-12-31,1956-01-01,2018-12-31,23011,14975
54274,辉南,吉林,一般站,126.06666666666666,42.65,306.5,2917,4,1,1958-12-01,1992-12-31,1958-12-01,2018-12-31,21946,12450
54276,靖宇,吉林,基本站,126.81666666666666,42.35,549.2,2922,3,2,1960-01-01,2011-12-31,1954-12-01,2018-12-31,23407,18993
54279,江源,吉林,一般站,126.58333333333333,42.05,544.4,2924,1,1,2007-01-01,2018-12-31,2007-01-01,2018-12-31,4383,4383
54284,东岗,吉林,基准站,127.56666666666666,42.1,774.2,2925,2,1,1956-12-01,2007-08-31,1956-12-01,2018-12-31,22676,18536
54285,二道,吉林,基本站,128.25,42.53333333333333,591.4,2929,5,3,1959-01-01,2004-12-31,1957-11-01,2018-12-31,22341,16802
54286,和龙,吉林,基本站,129.0,42.53333333333333,475.6,2934,3,3,1976-01-01,2018-12-31,1956-12-01,2018-12-31,22676,15706
54287,天池,吉林,基本站,128.08333333333334,42.016666666666666,2623.0,2937,4,3,1982-09-01,2018-06-30,1958-10-01,2018-09-30,21915,13087
54290,龙井,吉林,一般站,129.4,42.766666666666666,240.6,2942,5,4,1978-08-01,2003-07-31,1955-01-01,2018-12-31,23376,9131
54291,珲春,吉林,一般站,130.28333333333333,42.9,36.5,2944,2,1,1957-01-01,2017-12-31,1957-01-01,2018-12-31,22645,22280
54292,延吉,吉林,基本站,129.46666666666667,42.88333333333333,176.8,2948,4,3,1959-01-01,2005-12-31,1953-01-01,2018-12-31,24106,17167
54293,图们,吉林,一般站,129.83333333333334,42.95,140.6,2951,3,2,1978-11-01,2008-09-30,1976-01-01,2018-12-31,15706,10927
54301,沽源,河北,一般站,115.7,41.666666666666664,1410.3,2956,6,4,1971-01-01,1996-12-31,1958-01-01,2018-12-31,22280,9497
54304,崇礼,河北,一般站,115.28333333333333,40.96666666666667,1246.7,2962,6,4,1978-07-01,2003-07-31,1960-01-01,2018-12-31,21550,9162
54305,太仆寺旗,内蒙古,一般站,115.26666666666667,41.88333333333333,1468.9,2969,5,5,1976-01-01,2018-12-31,1959-02-01,2018-12-31,21884,15706
54308,丰宁,河北,基准站,116.53333333333333,41.2,659.7,2971,5,2,1959-06-01,1980-07-31,1956-01-01,2018-12-31,23011,7732
54311,围场,河北,基本站,117.75,41.93333333333333,842.3,2978,6,4,1957-08-01,1987-08-31,1951-01-01,2018-12-31,24837,10988
54313,喀喇沁旗,内蒙古,一般站,118.7,41.93333333333333,733.7,2985,5,5,1983-10-01,2018-12-31,1959-01-01,2018-12-31,21915,12876
54316,八里罕,内蒙古,一般站,118.75,41.516666666666666,679.3,2987,2,2,1973-01-01,2018-12-31,1959-01-01,2018-12-31,21915,16801
54318,隆化,河北,一般站,117.71666666666667,41.31666666666667,557.5,2988,7,1,1960-01-01,1978-10-31,1960-01-01,2018-12-31,21550,6879
54319,平泉,河北,一般站,118.66666666666667,41.0,502.3,2996,3,2,1982-05-01,2017-12-31,1960-01-01,2018-12-31,21550,13029
54320,宁城县,内蒙古,一般站,119.35,41.6,545.0,2998,3,1,1959-01-01,1984-09-30,1959-01-01,2018-12-31,21915,9405
54321,建平镇,辽宁,一般站,119.63333333333334,41.86666666666667,661.8,3003,5,2,1964-12-01,2015-12-31,1958-09-01,2018-12-31,22037,18658
54323,北票,辽宁,一般站,120.75,41.81666666666667,176.3,3008,4,2,1966-01-01,2002-05-31,1956-12-01,2018-12-31,22676,13300
54324,朝阳,辽宁,基准站,120.45,41.55,168.7,3017,10,7,1962-09-01,1983-05-31,1952-05-01,2018-12-31,24351,7578
54325,羊山,辽宁,一般站,120.35,41.18333333333333,140.0,3021,6,1,1965-01-01,1994-12-31,1965-01-01,2018-12-31,19723,10957
54326,建平县,辽宁,基本站,119.7,41.38333333333333,421.7,3027,6,1,1952-07-01,1999-07-31,1952-07-01,2018-12-31,24290,17197
54327,凌源,辽宁,一般站,119.35,41.233333333333334,417.1,3035,7,3,1981-01-01,2015-12-31,1957-11-01,2018-12-31,22341,12783
54328,喀左,辽宁,一般站,119.71666666666667,41.083333333333336,296.8,3040,5,1,1958-09-01,2015-12-31,1958-09-01,2018-12-31,22037,20941
54330,凌海,辽宁,一般站,121.36666666666666,41.166666666666664,54.0,3045,2,1,2004-01-01,2012-12-31,2004-01-01,2018-12-31,5479,3288
54331,北镇,辽宁,一般站,121.73333333333333,41.583333333333336,68.0,3048,16,2,1960-04-01,1983-03-31,1957-01-01,2018-12-31,22645,8400
54332,辽中,辽宁,一般站,122.71666666666667,41.516666666666666,12.2,3067,7,5,1994-06-01,2015-10-31,1957-01-01,2018-12-31,22645,7823
54333,新民,辽宁,基准站,122.83333333333333,41.983333333333334,30.7,3071,3,2,1980-01-01,2007-12-31,1959-01-01,2018-12-31,21915,10227
54334,义县,辽宁,基本站,121.23333333333333,41.516666666666666,67.5,3075,7,2,1957-08-01,1974-06-30,1955-12-01,2018-12-31,23042,6178
54335,黑山,辽宁,基本站,122.08333333333333,41.68333333333333,37.5,3083,3,3,1983-04-01,2018-12-31,1955-12-01,2018-12-31,23042,13059
54336,台安,辽宁,一般站,122.43333333333334,41.38333333333333,7.4,3086,5,3,1979-07-01,2007-12-31,1956-12-01,2018-12-31,22676,10411
54337,锦州,辽宁,基本站,121.11666666666666,41.13333333333333,65.9,3091,3,3,1973-06-01,2018-12-31,1951-01-01,2018-12-31,24837,16650
54338,盘山,辽宁,一般站,122.01666666666667,41.18333333333333,3.8,3094,5,3,1971-11-01,1999-12-31,1956-12-01,2018-12-31,22676,10288
54339,鞍山,辽宁,基本站,123.0,41.083333333333336,77.3,3102,6,6,1979-07-01,2018-12-31,1951-01-01,2018-12-31,24837,14429
54340,苏家屯,辽宁,一般站,123.31666666666666,41.666666666666664,35.8,3103,1,1,2003-01-01,2018-12-31,2003-01-01,2018-12-31,5844,5844
54342,沈阳,辽宁,基本站,123.43333333333334,41.766666666666666,41.6,3105,5,2,1954-01-01,1988-12-31,1951-01-01,2018-12-31,24837,12784
54345,辽阳县,辽宁,一般站,123.06666666666666,41.2,30.7,3110,2,2,2005-01-01,2018-12-31,2004-01-01,2018-12-31,5479,5113
54346,本溪,辽宁,基本站,123.78333333333333,41.31666666666667,185.2,3113,5,3,1973-01-01,2002-04-30,1955-05-01,2018-12-31,23256,10712
54347,辽阳,辽宁,一般站,123.13333333333334,41.266666666666666,21.8,3116,4,1,1956-01-01,1981-12-31,1956-01-01,2018-12-31,23011,9497
54348,灯塔,辽宁,一般站,123.33333333333333,41.416666666666664,36.8,3121,3,2,2008-01-01,2014-12-31,2004-01-01,2018-12-31,5479,2557
54349,本溪县,辽宁,基本站,124.28333333333333,41.3,204.9,3125,6,3,1978-06-01,1992-08-31,1957-11-01,2018-12-31,22341,5206
54351,抚顺,辽宁,基本站,124.08333333333333,41.916666666666664,118.5,3133,6,5,1987-01-01,2015-12-31,1951-01-01,2018-12-31,24837,10592
54353,新宾,辽宁,基本站,125.05,41.733333333333334,328.4,3138,5,4,1989-05-01,2017-02-28,1959-01-01,2018-12-31,21915,10166
